,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
61,@El_Influenza Thank you. I hope you have a low pain day <U+2764><U+FE0F> https://t.co/vkgXlZCvNn,FALSE,2,El_Influenza,3/3/2019 17:02,FALSE,1.10224E+18,1102252836111340000,1.0707E+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AlaskanCourtney,0,FALSE,FALSE,NA,NA
62,"RT @Harry1T6: True, ignorant people who reject socialism have never experienced the wonderful joys of having to slaughter zoo animals for f…",FALSE,0,NA,3/3/2019 16:57,FALSE,NA,1102251750277460000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",El_Influenza,293,TRUE,FALSE,NA,NA
63,RT @SDHighwayPatrol: This is I 90 in Lyman County. Blowing snow and extreme cold are causing problems on the roads. Many drivers are overdr…,FALSE,0,NA,3/3/2019 16:54,FALSE,NA,1102250810598140000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",El_Influenza,17,TRUE,FALSE,NA,NA
64,RT @Salud_Hidalgo: #CuidaTuSalud y protégete de la #InfluenzaEstacional. Si presentas estos síntomas acudan de manera inmediata al médico.…,FALSE,0,NA,3/3/2019 16:52,FALSE,NA,1102250435287620000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pdrini_guardian,6,TRUE,FALSE,NA,NA
65,RT @ReginaPhelps: Curious about this flu season? We are in week #8 and Influenza activity remains elevated in the United States. Influenza…,FALSE,0,NA,3/3/2019 16:51,FALSE,NA,1102250115912350000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BCPAmn,2,TRUE,FALSE,NA,NA
66,RT @BioProfBarker: We talked about two awesome papers on TWiV this week...viruses encode ribosomal proteins and the receptor for bat influe…,FALSE,0,NA,3/3/2019 16:46,FALSE,NA,1102248962285800000,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",lumi_neuron,1,TRUE,FALSE,NA,NA
67,RT @MayoClinic: #MayoClinicMinute: Thinking of skipping a #FluShot this year? The researcher who leads the effort to find an effective #vac…,FALSE,0,NA,3/3/2019 16:39,FALSE,NA,1102247043362360000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Nadianghannam,47,TRUE,FALSE,NA,NA
68,RT @profvrr: New episode of the #science #podcast This Week in Virology #TWiV 537: Boundary issues https://t.co/SFx9ax209a ribosomal protei…,FALSE,0,NA,3/3/2019 16:37,FALSE,NA,1102246620702350000,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",soupvector,7,TRUE,FALSE,NA,NA
69,"RT @TheRealElvira: Thanx to @RondoAwards for these 5 nominations! <U+0001F64C><U+0001F3FB> <U+0001F480><U+0001F64C><U+0001F3FB>  Go to https://t.co/rzXV1qpHyl to vote for Elvira!

BEST CLASSIC D…",FALSE,0,NA,3/3/2019 16:36,FALSE,NA,1102246272319260000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",El_Influenza,41,TRUE,FALSE,NA,NA
70,"RT @hooponopono7: Tengo influenza <U+0001F97A>
Y según Louise Hay es reacción a creencias populares negativas
Tengo que decir:
«Estoy más allá de las…",FALSE,0,NA,3/3/2019 16:33,FALSE,NA,1102245601922720000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JENRRYGIL,74,TRUE,FALSE,NA,NA
